,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,PnL,Fee,Sum
2021/01,1,5000,5,0,0.15,0.05,0.8,0.4,14314.59,-7572,6742.59
2021/02,1,5000,5,0,0.15,0.05,0.8,0.4,6503.65,-5361,1142.65
2021/03,1,5000,5,0,0.15,0.05,0.8,0.4,9407.68,-3825,5582.68
2021/04,1,5000,5,0,0.15,0.05,0.8,0.4,6389.41,-3054,3335.41
2021/05,1,5000,5,0,0.15,0.05,0.8,0.4,11414.8,-6429,4985.8
2021/06,1,5000,5,0,0.15,0.05,0.8,0.4,13157.83,-4746,8411.83
2021/07,1,5000,5,0,0.15,0.05,0.8,0.4,6938.94,-2706,4232.94
2021/08,1,5000,5,0,0.15,0.05,0.8,0.4,6137.69,-2481,3656.69
2021/09,1,5000,5,0,0.15,0.05,0.8,0.4,8490.51,-2778,5712.51
2021/10,1,5000,5,0,0.15,0.05,0.8,0.4,6418.1,-2532,3886.1
2021/11,1,5000,5,0,0.15,0.05,0.8,0.4,6382.58,-2400,3982.58
